epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.01,1.44184,3.63694,0.00694,0.6008,0.31363,0.30777,0.19235,1.30641,1.58495,0.00703,0.000158562,0.000158562,0.000158562
2,896.152,1.43803,1.90417,0.00718,0.51575,0.39768,0.37256,0.22428,1.27423,1.46459,0.00671,0.000309377,0.000309377,0.000309377
3,1369.05,1.47688,1.68265,0.00773,0.71598,0.37874,0.41261,0.25161,1.29877,1.26732,0.00701,0.000452338,0.000452338,0.000452338
4,1854.82,1.4839,1.50923,0.00793,0.64106,0.47796,0.4444,0.26901,1.33848,1.30019,0.00743,0.000440657,0.000440657,0.000440657
5,2404.99,1.45395,1.38443,0.00743,0.72653,0.4164,0.46095,0.27987,1.29432,1.21294,0.00714,0.000428876,0.000428876,0.000428876
6,2967.63,1.44137,1.32392,0.00746,0.70911,0.474,0.4901,0.29817,1.33055,1.1634,0.00767,0.000417095,0.000417095,0.000417095
7,3505.97,1.4272,1.26004,0.00711,0.68186,0.50046,0.55095,0.33688,1.27267,1.05005,0.00689,0.000405314,0.000405314,0.000405314
8,4064,1.39027,1.17559,0.0071,0.8528,0.43278,0.5666,0.35104,1.2778,1.05353,0.00688,0.000393533,0.000393533,0.000393533
9,4633.05,1.38167,1.1339,0.00715,0.79034,0.52672,0.58435,0.35356,1.27883,0.99239,0.00678,0.000381752,0.000381752,0.000381752
10,5171.81,1.35244,1.07801,0.0069,0.64877,0.58392,0.61106,0.36364,1.28287,0.96634,0.00718,0.000369971,0.000369971,0.000369971
11,5653.24,1.34161,1.02793,0.0068,0.66668,0.58016,0.61885,0.38519,1.26449,0.92874,0.00702,0.00035819,0.00035819,0.00035819
12,6096.06,1.3183,0.98068,0.00644,0.79132,0.57057,0.62185,0.39192,1.23151,0.93844,0.00654,0.000346409,0.000346409,0.000346409
